CaseMasterID,CrimeNo,n_accused,n_victims,hour,report_delay_hours,anomaly_score_raw
21320,100120637202300004,4,3.0,0,0.8833333333333333,-0.0965779436273182
9699,100040317202400002,4,3.0,15,4.35,-0.09320563855129205
28315,100180816202400005,4,3.0,8,0.65,-0.08824934949523144
19326,100100581202400004,4,3.0,14,4.166666666666667,-0.08670792697973162
28256,100180831202400003,4,3.0,14,3.6166666666666667,-0.08643011953388868
36298,100271044202300011,4,0.0,9,5.0,-0.08393927718841787
3583,100010120202400006,4,3.0,5,4.45,-0.08319279589031703
11329,100040304202500006,4,3.0,7,3.75,-0.08278253080418263
12844,400050396202500001,4,3.0,1,0.3333333333333333,-0.0811787271486496
6111,100020210202300002,4,3.0,6,3.2,-0.08078908511940885
19372,100100569202400004,4,3.0,9,1.6,-0.07601114771511752
1458,100010118202300011,3,3.0,1,0.2833333333333333,-0.07581172871984698
30119,100200892202300008,4,0.0,2,4.3,-0.07396231463094882
22493,100130668202300002,4,2.0,3,0.11666666666666667,-0.0729118599521621
3752,100010047202400009,3,3.0,17,0.7333333333333333,-0.0723671712210735
19513,100100576202400011,4,0.0,21,0.18333333333333332,-0.0720087027114753
29606,100190846202500014,4,3.0,21,3.3666666666666667,-0.07190791769650584
3297,100010064202400011,4,2.0,19,0.2,-0.07180574164601161
19029,400100583202300001,4,3.0,19,4.216666666666667,-0.0694975078292891
38199,100301097202300009,4,3.0,14,4.35,-0.06897568957853273
3964,100010043202400012,4,0.0,18,3.7666666666666666,-0.06879351102328624
25096,100150725202400005,4,0.0,19,4.416666666666667,-0.06827702792191381
8826,100040350202300007,4,2.0,9,4.916666666666667,-0.06806204904043511
19358,100100574202400007,4,1.0,1,4.933333333333334,-0.06775475327660274
18784,100100565202300001,4,0.0,17,4.333333333333333,-0.06765396914626032
36461,100271053202400010,4,2.0,18,3.75,-0.06733451685573844
11118,300040356202500001,3,3.0,1,0.4666666666666667,-0.06705028186599049
34401,100240972202500012,3,3.0,11,4.183333333333334,-0.06645890272005162
14559,100060443202500004,1,3.0,17,4.866666666666666,-0.0662158074537651
24144,100140700202400015,4,1.0,15,4.933333333333334,-0.06585915783790597
27205,100170787202400008,1,3.0,2,0.1,-0.06502108727020395
10840,400040339202500001,4,2.0,23,4.05,-0.06487351539287434
5732,100010045202500012,4,0.0,6,4.3,-0.06478525026412285
14277,100060411202400006,4,0.0,9,4.116666666666666,-0.06418125622064252
37435,100291084202300010,3,3.0,8,3.8833333333333333,-0.06402835374404514
29589,100190843202500006,3,3.0,1,3.1166666666666667,-0.06261324727022632
17710,100090541202300004,4,0.0,16,3.75,-0.06224448403045646
11820,100050371202300003,3,3.0,6,4.283333333333333,-0.062028323516403416
9631,100040292202300011,4,1.0,0,0.38333333333333336,-0.06159505089399275
22631,100130655202300010,3,0.0,4,4.816666666666666,-0.06151415706859509
7414,100030247202400001,4,0.0,13,0.5833333333333334,-0.06123726598499535
9634,100040314202300017,2,3.0,13,0.13333333333333333,-0.06111814409383276
33032,100230960202400001,4,2.0,7,3.7333333333333334,-0.060774068994294494
13223,100050359202500009,3,0.0,1,0.08333333333333333,-0.06074125288892995
43,100010157202300002,1,3.0,4,0.11666666666666667,-0.06064188067713583
34095,100240985202400006,4,1.0,21,0.23333333333333334,-0.060578268128467117
11916,100050387202300005,4,2.0,18,2.8666666666666667,-0.060555628197736855
31145,100210914202300007,4,2.0,0,3.283333333333333,-0.060430358362073444
24252,100140693202400008,4,3.0,17,1.9166666666666667,-0.06029780543452845
36599,100271045202500002,1,3.0,15,4.783333333333333,-0.060172816381589
18782,100100572202300001,2,3.0,2,0.18333333333333332,-0.05991717708415356
6012,100010194202500012,4,0.0,14,4.183333333333334,-0.059445592643024736
5882,300010094202500001,4,0.0,2,2.8666666666666667,-0.059284613096558414
7506,100030230202400003,3,0.0,8,4.8,-0.05864710052527433
